"1" "counter" "POPULATION_SIZE" "NUMBER_VACCINATED" "NUMBER_INFECTIOUS" "LENGTH_OF_ACUTE" "ACUTE_TO_CHRONIC" "BETA_SUSCEPTIBLE" "power" "edge" "VACCINATION_STRATEGY" "VACCINATION_TIME" "max.infected" "time.of.max.infected" "end.susceptible" "max.change" "time.of.max.change" "frame"
"1" "11" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "2" "random" "beginning" "513" "-1" "73" "123" "6" "41"
"1" "11" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "2" "random" "beginning" "534" "-1" "61" "141" "5" "36"
"1" "11" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "2" "random" "beginning" "478" "-1" "83" "110" "6" "46"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "108" "-1" "670" "24" "4" "34"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "105" "-1" "706" "19" "10" "49"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "167" "-1" "626" "29" "10" "39"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "152" "-1" "606" "28" "7" "38"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "120" "-1" "641" "22" "10" "41"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "63" "-1" "812" "10" "2" "38"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "107" "-1" "606" "18" "5" "53"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "128" "-1" "697" "25" "6" "40"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "125" "-1" "624" "26" "13" "55"
"1" "12" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "1" "random" "beginning" "106" "-1" "678" "12" "9" "38"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "489" "-1" "89" "122" "6" "41"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "487" "-1" "96" "133" "6" "34"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "516" "-1" "73" "143" "6" "36"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "542" "-1" "68" "147" "5" "34"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "531" "-1" "73" "133" "6" "37"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "501" "-1" "94" "149" "5" "33"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "528" "-1" "73" "136" "4" "40"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "511" "-1" "81" "148" "5" "34"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "545" "-1" "62" "150" "6" "34"
"1" "13" "1000" "0" "10" "3" "0.12" "0.25" "0.6" "2" "random" "beginning" "499" "-1" "65" "113" "6" "34"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "99" "-1" "610" "17" "17" "57"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "77" "-1" "746" "12" "23" "51"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "131" "-1" "664" "32" "5" "45"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "160" "-1" "663" "32" "11" "39"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "133" "-1" "595" "28" "9" "41"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "125" "-1" "696" "20" "12" "47"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "104" "-1" "628" "27" "4" "51"
